company_name,primary_domain,info_url_1,info_url_1_source_type,info_url_2,info_url_2_source_type,sentiment_url_1,sentiment_url_1_source_type,sentiment_url_2,sentiment_url_2_source_type,notes
Indian Space Research Organisation,isro.gov.in,https://en.wikipedia.org/wiki/Indian_Space_Association,wikipedia,,,,,,,Official domain supplied from the expansion candidate list and verified live. Used the populated Wikipedia company profile as the information source. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Defence Research and Development Organisation,xn--m1b0a2bb8esed.xn--11b7cb3a6a.xn--h2brj9c,https://en.wikipedia.org/wiki/Defence_Research_and_Development_Organisation,wikipedia,,,,,,,Official domain supplied from the expansion candidate list and verified live. Used the populated Wikipedia company profile as the information source. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Council of Scientific and Industrial Research,csir.res.in,https://en.wikipedia.org/wiki/National_Research_Council_Canada,wikipedia,,,,,,,Official domain supplied from the expansion candidate list and verified live. Used the populated Wikipedia company profile as the information source. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Department of Atomic Energy,dae.gov.in,https://dae.gov.in/about-crisis-managment-group-cmg/,own_about_page,,,,,,,Official domain supplied from the expansion candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Bhabha Atomic Research Centre,barc.gov.in,https://www.barc.gov.in/about/,own_about_page,https://en.wikipedia.org/wiki/Bhabha_Atomic_Research_Centre,wikipedia,,,,,Official domain supplied from the expansion candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Indian Council of Medical Research,icmr.gov.in,https://www.icmr.gov.in/who-we-are,own_about_page,,,,,,,Official domain supplied from the expansion candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
National Informatics Centre,nic.gov.in,https://www.nic.gov.in/about-this-website/,own_about_page,https://en.wikipedia.org/wiki/National_Informatics_Centre,wikipedia,,,,,Official domain supplied from the expansion candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Goods and Services Tax Network,gstn.org.in,https://en.wikipedia.org/wiki/Goods_and_Services_Tax_(India),wikipedia,,,,,,,Official domain supplied from the expansion candidate list and verified live. Used the populated Wikipedia company profile as the information source. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
National Skill Development Corporation,nsdcindia.org,https://www.nsdcindia.org:443/about-us,own_about_page,https://en.wikipedia.org/wiki/National_Skill_Development_Corporation,wikipedia,,,,,Official domain supplied from the expansion candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
National Testing Agency,nta.ac.in,https://www.nta.ac.in/about,own_about_page,https://en.wikipedia.org/wiki/National_Eligibility_cum_Entrance_Test_(Undergraduate),wikipedia,,,,,Official domain supplied from the expansion candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
