company_name,primary_domain,info_url_1,info_url_1_source_type,info_url_2,info_url_2_source_type,sentiment_url_1,sentiment_url_1_source_type,sentiment_url_2,sentiment_url_2_source_type,notes
Engineers India,engineersindia.com,https://www.engineersindia.com/,own_about_page,https://en.wikipedia.org/wiki/Engineers_India,wikipedia,,,,,Official domain supplied from the expansion candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
NBCC India,nbccindia.in,https://en.wikipedia.org/wiki/NBCC_(India)_Limited,wikipedia,,,,,,,Official domain supplied from the expansion candidate list and verified live. Used the populated Wikipedia company profile as the information source. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Cochin Shipyard,cochinshipyard.in,https://en.wikipedia.org/wiki/Cochin_Shipyard,wikipedia,,,,,,,Official domain supplied from the expansion candidate list and verified live. Used the populated Wikipedia company profile as the information source. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Shipping Corporation of India,shipindia.com,https://en.wikipedia.org/wiki/Shipping_Corporation_of_India,wikipedia,,,,,,,Official domain supplied from the expansion candidate list and verified live. Used the populated Wikipedia company profile as the information source. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
National Aluminium Company,nalcoindia.com,https://nalcoindia.com/company/about-us/,own_about_page,https://en.wikipedia.org/wiki/National_Aluminium_Company,wikipedia,,,,,Official domain supplied from the expansion candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
MOIL,moil.nic.in,https://en.wikipedia.org/wiki/MOIL,wikipedia,,,,,,,Official domain supplied from the expansion candidate list and verified live. Used the populated Wikipedia company profile as the information source. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
ITI Limited,itiltd.in,https://en.wikipedia.org/wiki/ITI_Limited,wikipedia,,,,,,,Official domain supplied from the expansion candidate list and verified live. Used the populated Wikipedia company profile as the information source. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Andrew Yule and Company,andrewyule.com,https://en.wikipedia.org/wiki/Andrew_Yule_and_Company,wikipedia,,,,,,,Official domain supplied from the expansion candidate list and verified live. Used the populated Wikipedia company profile as the information source. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
BEML,bemlindia.in,https://www.bemlindia.in/about-us/,own_about_page,https://en.wikipedia.org/wiki/BEML,wikipedia,,,,,Official domain supplied from the expansion candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
MSTC,mstcindia.co.in,https://en.wikipedia.org/wiki/MSTC_Limited,wikipedia,,,,,,,Official domain supplied from the expansion candidate list and verified live. Used the populated Wikipedia company profile as the information source. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
National Small Industries Corporation,nsic.co.in,https://en.wikipedia.org/wiki/National_Small_Industries_Corporation,wikipedia,,,,,,,Official domain supplied from the expansion candidate list and verified live. Used the populated Wikipedia company profile as the information source. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Export-Import Bank of India,eximbankindia.in,https://www.eximbankindia.in/about-us,own_about_page,,,,,,,Official domain supplied from the expansion candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Small Industries Development Bank of India,sidbi.in,https://www.sidbi.in/about,own_about_page,,,,,,,Official domain supplied from the expansion candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
National Housing Bank,nhb.org.in,https://www.nhb.org.in/about-us/,own_about_page,https://en.wikipedia.org/wiki/National_Housing_Bank,wikipedia,,,,,Official domain supplied from the expansion candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Securities and Exchange Board of India,sebi.gov.in,https://en.wikipedia.org/wiki/Securities_and_Exchange_Board_of_India,wikipedia,,,,,,,Official domain supplied from the expansion candidate list and verified live. Used the populated Wikipedia company profile as the information source. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Insolvency and Bankruptcy Board of India,ibbi.gov.in,https://ibbi.gov.in/about,own_about_page,https://en.wikipedia.org/wiki/Insolvency_and_Bankruptcy_Board_of_India,wikipedia,,,,,Official domain supplied from the expansion candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
